REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2040,DKBM,S02B1,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S02B2,59.489215396789874
REGION1,DKBMCSPN2,1,2040,DKBM,S02B3,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S03B1,41.61139121958852
REGION1,DKBMCSPN2,1,2040,DKBM,S03B2,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S03B3,49.951551477388996
REGION1,DKBMCSPN2,1,2040,DKBM,S04B2,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S04B3,33.01261115172429
REGION1,DKBMCSPN2,1,2040,DKBM,S05B1,45.096553383229775
REGION1,DKBMCSPN2,1,2040,DKBM,S05B2,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S05B3,52.2650337271773
REGION1,DKBMCSPN2,1,2041,DKBM,S01B1,70.86265509539722
REGION1,DKBMCSPN2,1,2041,DKBM,S01B2,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S01B3,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S02B1,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S02B2,55.64880075278887
REGION1,DKBMCSPN2,1,2041,DKBM,S02B3,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S03B1,52.44722502220046
REGION1,DKBMCSPN2,1,2041,DKBM,S03B2,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S03B3,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S04B2,42.44542568760872
REGION1,DKBMCSPN2,1,2041,DKBM,S05B2,73.6365229119575
REGION1,DKBMCSPN2,1,2041,DKBM,S05B3,60.06040961510516
REGION1,DKBMCSPN2,1,2042,DKBM,S01B2,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S01B3,42.806063371050456
REGION1,DKBMCSPN2,1,2042,DKBM,S02B1,36.81907456912528
REGION1,DKBMCSPN2,1,2042,DKBM,S02B2,57.16502520451117
REGION1,DKBMCSPN2,1,2042,DKBM,S02B3,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S03B1,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S03B2,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S03B3,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S04B2,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S04B3,11.905305736722413
REGION1,DKBMCSPN2,1,2042,DKBM,S05B1,23.5439540549784
REGION1,DKBMCSPN2,1,2042,DKBM,S05B2,83.72147667101252
REGION1,DKBMCSPN2,1,2042,DKBM,S05B3,83.72147667101252
REGION1,DKBMCSPN2,1,2043,DKBM,S01B1,29.729580115424316
REGION1,DKBMCSPN2,1,2043,DKBM,S01B2,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S01B3,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S02B1,51.05175158681547
REGION1,DKBMCSPN2,1,2043,DKBM,S02B2,66.53833039388252
REGION1,DKBMCSPN2,1,2043,DKBM,S02B3,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S03B1,72.60346014483335
REGION1,DKBMCSPN2,1,2043,DKBM,S03B2,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S03B3,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S04B2,93.84241457689411
REGION1,DKBMCSPN2,1,2043,DKBM,S04B3,14.521728084949661
REGION1,DKBMCSPN2,1,2043,DKBM,S05B1,16.389228267319243
REGION1,DKBMCSPN2,1,2043,DKBM,S05B2,94.91112112238307
REGION1,DKBMCSPN2,1,2043,DKBM,S05B3,94.91112112238307
REGION1,DKBMCSPN2,1,2044,DKBM,S01B1,68.37758298566143
REGION1,DKBMCSPN2,1,2044,DKBM,S01B2,107.28945153794436
REGION1,DKBMCSPN2,1,2044,DKBM,S01B3,65.63678537832811
REGION1,DKBMCSPN2,1,2044,DKBM,S02B1,56.85619843941438
REGION1,DKBMCSPN2,1,2044,DKBM,S02B2,107.28945153794436
REGION1,DKBMCSPN2,1,2044,DKBM,S02B3,107.28945153794436
REGION1,DKBMCSPN2,1,2044,DKBM,S03B1,83.61028155003495
REGION1,DKBMCSPN2,1,2044,DKBM,S03B2,104.42062693487536
REGION1,DKBMCSPN2,1,2044,DKBM,S03B3,70.94349927189182
REGION1,DKBMCSPN2,1,2044,DKBM,S04B2,107.28945153794436
REGION1,DKBMCSPN2,1,2044,DKBM,S04B3,26.70236272623797
REGION1,DKBMCSPN2,1,2044,DKBM,S05B1,21.801938316453594
REGION1,DKBMCSPN2,1,2044,DKBM,S05B2,107.28945153794436
REGION1,DKBMCSPN2,1,2044,DKBM,S05B3,107.28945153794436
REGION1,DKBMCSPN2,1,2045,DKBM,S01B1,82.23326125419163
REGION1,DKBMCSPN2,1,2045,DKBM,S01B2,120.94296951896682
REGION1,DKBMCSPN2,1,2045,DKBM,S01B3,93.16664827101921
REGION1,DKBMCSPN2,1,2045,DKBM,S02B1,41.44320856088125
REGION1,DKBMCSPN2,1,2045,DKBM,S02B2,76.2691896545011
REGION1,DKBMCSPN2,1,2045,DKBM,S02B3,120.94296951896682
REGION1,DKBMCSPN2,1,2045,DKBM,S03B1,112.78404792330684
REGION1,DKBMCSPN2,1,2045,DKBM,S03B2,113.7384237383991
REGION1,DKBMCSPN2,1,2045,DKBM,S03B3,120.94296951896682
REGION1,DKBMCSPN2,1,2045,DKBM,S04B2,120.94296951896682
REGION1,DKBMCSPN2,1,2045,DKBM,S04B3,38.70866105033485
REGION1,DKBMCSPN2,1,2045,DKBM,S05B1,16.61472038662666
REGION1,DKBMCSPN2,1,2045,DKBM,S05B2,120.94296951896682
REGION1,DKBMCSPN2,1,2045,DKBM,S05B3,111.27844508868912
REGION1,DKBMCSPN2,1,2046,DKBM,S01B2,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S01B3,108.2463228818068
REGION1,DKBMCSPN2,1,2046,DKBM,S02B1,103.61460012042326
REGION1,DKBMCSPN2,1,2046,DKBM,S02B2,106.5909643514313
REGION1,DKBMCSPN2,1,2046,DKBM,S02B3,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S03B1,100.60804751987227
REGION1,DKBMCSPN2,1,2046,DKBM,S03B2,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S03B3,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S04B1,12.833938871848895
REGION1,DKBMCSPN2,1,2046,DKBM,S04B2,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S04B3,50.53997763278352
REGION1,DKBMCSPN2,1,2046,DKBM,S05B1,38.41405828690613
REGION1,DKBMCSPN2,1,2046,DKBM,S05B2,135.96059041007092
REGION1,DKBMCSPN2,1,2046,DKBM,S05B3,135.96059041007092
REGION1,DKBMCSPN2,1,2047,DKBM,S01B2,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S01B3,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S02B1,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S02B2,141.01319084131708
REGION1,DKBMCSPN2,1,2047,DKBM,S02B3,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S03B1,117.80744522152315
REGION1,DKBMCSPN2,1,2047,DKBM,S03B2,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S03B3,112.02791282984758
REGION1,DKBMCSPN2,1,2047,DKBM,S04B1,13.808725922862113
REGION1,DKBMCSPN2,1,2047,DKBM,S04B2,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S04B3,62.19566704912705
REGION1,DKBMCSPN2,1,2047,DKBM,S05B1,27.80854047508102
REGION1,DKBMCSPN2,1,2047,DKBM,S05B2,152.43366209041722
REGION1,DKBMCSPN2,1,2047,DKBM,S05B3,102.21957075738179
REGION1,DKBMCSPN2,1,2048,DKBM,S01B1,13.751380740512133
REGION1,DKBMCSPN2,1,2048,DKBM,S01B2,170.45616750249593
REGION1,DKBMCSPN2,1,2048,DKBM,S01B3,170.45616750249593
REGION1,DKBMCSPN2,1,2048,DKBM,S02B1,105.2562814445866
REGION1,DKBMCSPN2,1,2048,DKBM,S02B2,156.02046372574097
REGION1,DKBMCSPN2,1,2048,DKBM,S02B3,170.45616750249593
REGION1,DKBMCSPN2,1,2048,DKBM,S03B1,128.58768211210622
