TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2017,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2017,REGION1,NOWS00X00,1,0.4065707122683718
S01B1,2017,REGION1,SEEL00TD0,1,22.344953945007124
S01B1,2017,REGION1,SEHYDMPH1,1,0.28870078486681156
S01B1,2017,REGION1,SEHYDMPH2,1,4.796682455930238
S01B1,2017,REGION1,SEHYDMPH3,1,0.9785285327704413
S01B1,2017,REGION1,SEHYDSPH2,1,0.1285631987143677
S01B1,2017,REGION1,SEOCWVPH1,1,0.010696347386131615
S01B1,2017,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2017,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2017,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2017,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2017,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2017,REGION1,SEWS00X00,1,1.9256867037065843
S01B1,2018,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2018,REGION1,DKNG00X00,1,0.18815571169540243
S01B1,2018,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2018,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2018,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2018,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2018,REGION1,FICO00X00,1,7.957689239027889
S01B1,2018,REGION1,FING00I00,1,1.2805859283192575
S01B1,2018,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2018,REGION1,FINGFCFH1,1,2.7647999723519935e-05
S01B1,2018,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2018,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2018,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2018,REGION1,FIWSSTPH1,1,0.11049739728001223
S01B1,2018,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2018,REGION1,SEBM00X00,1,8.277545177024297
S01B1,2018,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2018,REGION1,SENUG2PH3,1,13.680230263197664
S01B1,2018,REGION1,SEUR00I00,1,41.45520176656788
S01B1,2018,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2018,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2018,REGION1,DKEL00TD0,1,4.389471522157111
S01B1,2018,REGION1,DKELSEPH1,2,0.7213722243693051
S01B1,2018,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2018,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2018,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2018,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2018,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2018,REGION1,DKWS00X00,1,1.2130709070065682
S01B1,2018,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2018,REGION1,FICOSTPH3,1,3.7078732429212584
S01B1,2018,REGION1,FIEL00TD0,1,13.773319563062046
S01B1,2018,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2018,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2018,REGION1,FIHYDMPH2,1,0.9606236744692809
S01B1,2018,REGION1,FINGSTPH2,1,0.024330239756697545
S01B1,2018,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2018,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2018,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2018,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2018,REGION1,FIWS00X00,1,0.7799743360356383
S01B1,2018,REGION1,NOEL00TD0,1,22.02613405217054
S01B1,2018,REGION1,NOELSEPH1,2,0.4496237877586283
S01B1,2018,REGION1,NOHYDMPH1,1,1.65688030944156
S01B1,2018,REGION1,NOHYDMPH2,1,11.105214275082888
S01B1,2018,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2018,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2018,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2018,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2018,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2018,REGION1,NOWS00X00,1,0.39550864237835254
S01B1,2018,REGION1,SEBMSTPH3,1,2.837648714379833
S01B1,2018,REGION1,SEEL00TD0,1,22.317970777263536
S01B1,2018,REGION1,SEHYDMPH1,1,0.4679215316644373
S01B1,2018,REGION1,SEHYDMPH2,1,4.596349019080487
S01B1,2018,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2018,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2018,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2018,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2018,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2018,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2018,REGION1,SEWS00X00,1,1.8572609705263936
S01B1,2019,REGION1,DKNG00X00,1,0.1876956351560032
S01B1,2019,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2019,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2019,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2019,REGION1,FING00I00,1,1.215621501059782
S01B1,2019,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2019,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2019,REGION1,FIUR00I00,1,19.1022352521776
S01B1,2019,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2019,REGION1,FIWSSTPH1,1,1.7829582051694588
S01B1,2019,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2019,REGION1,SEBM00X00,1,11.74121126332386
S01B1,2019,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2019,REGION1,SENUG2PH3,1,12.422246275777507
S01B1,2019,REGION1,SEUR00I00,1,37.64313288948858
S01B1,2019,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2019,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2019,REGION1,DKEL00TD0,1,4.369247127406787
S01B1,2019,REGION1,DKELSEPH1,2,1.4821201563906983
S01B1,2019,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2019,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2019,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2019,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2019,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2019,REGION1,DKWS00X00,1,1.0719291363552659
S01B1,2019,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2019,REGION1,FIEL00TD0,1,13.650856935194378
S01B1,2019,REGION1,FIELSEPH1,2,3.303188517031144
S01B1,2019,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2019,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2019,REGION1,FINUG3PN3,1,2.3777279762227144
S01B1,2019,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2019,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2019,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2019,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2019,REGION1,FIWS00X00,1,5.571802959030062
S01B1,2019,REGION1,NOEL00TD0,1,22.0509154759526
S01B1,2019,REGION1,NOELSEPH1,2,0.5242749137440303
S01B1,2019,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2019,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2019,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2019,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2019,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2019,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2019,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2019,REGION1,NOWS00X00,1,0.3844454150048249
S01B1,2019,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2019,REGION1,SEEL00TD0,1,22.29002392495767
S01B1,2019,REGION1,SEHYDMPH1,1,0.4660332421821388
S01B1,2019,REGION1,SEHYDMPH2,1,4.552661087613367
S01B1,2019,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2019,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2019,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2019,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2019,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2019,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2019,REGION1,SEWIONPN3,1,0.27082373381349
