REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKHYDMPH3,DKHO,1,2037,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2038,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2039,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2040,0.05796450307577091
REGION1,DKHYDMPH3,DKHO,1,2041,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2042,0.05796450403565866
REGION1,DKHYDMPH3,DKHO,1,2043,0.05796450403565829
REGION1,DKHYDMPH3,DKHO,1,2044,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2045,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2046,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2047,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2048,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2049,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2050,0.0579645030757709
REGION1,DKHYDMPH3,DKHO,1,2051,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2052,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2053,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2054,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2055,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2056,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2057,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2058,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2059,0.05898437748018653
REGION1,DKHYDMPH3,DKHO,1,2060,0.05898437748018654
REGION1,DKNG00X00,CO2,1,2015,553.2029450628269
REGION1,DKNG00X00,CO2,1,2016,553.2029643213792
REGION1,DKNG00X00,CO2,1,2017,502.91132001829624
REGION1,DKNG00X00,CO2,1,2018,452.6206826572348
REGION1,DKNG00X00,CO2,1,2019,402.32959193777384
