VALUE
Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Finland (FI)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3
Finland (FI)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Finland (FI)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1
Finland (FI)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2
Finland (FI)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Finland (FI)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Nuclear (NU)| Generation 2 (G2)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3
Finland (FI)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1
Finland (FI)| Oil (OI)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Finland (FI)| Oil (OI)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Finland (FI)| Oil (OI)| Refinery (RF)| Primary energy commodity (P)| Historic (H)| size 0
