REGION,TECHNOLOGY,VALUE
REGION1,Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Norway (NO)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Norway (NO)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Sweden (SE)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Sweden (SE)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Sweden (SE)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Sweden (SE)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3,31.536
