REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2030,3126.77275
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2031,3096.899125
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2032,3067.0255
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2033,3037.151875
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2034,3007.27825
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2035,2977.404625
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2036,2947.531
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2037,2917.657375
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2038,2887.78375
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2039,2857.910125
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2040,2828.0365
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2041,2800.15445
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2042,2772.2724
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2043,2744.39035
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2044,2716.5083
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2045,2688.62625
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2046,2660.7442
REGION1,Denmark (DK)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,2047,2632.86215
