REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2050,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2051,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2052,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2053,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2054,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2055,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2056,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2057,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2058,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2059,0.0
REGION1,Denmark (DK)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,2060,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2015,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2016,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2017,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2018,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2019,0.0
REGION1,Denmark (DK)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2020,0.0
