TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2017,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2017,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2017,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2017,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2017,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2017,REGION1,NOWS00X00,1,0.4065707122683718
S01B1,2017,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2017,REGION1,SEEL00TD0,1,22.344953945007124
S01B1,2017,REGION1,SEHYDMPH1,1,0.49439690355497545
S01B1,2017,REGION1,SEHYDMPH2,1,4.796682455930238
S01B1,2017,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2017,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2017,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2017,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2017,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2017,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2017,REGION1,SEWS00X00,1,1.9256867037065843
S01B1,2017,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2017,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2017,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2017,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2017,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2017,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2018,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2018,REGION1,DKCO00I00,1,1.8053407775367993
S01B1,2018,REGION1,DKCOCHPH3,1,0.4889198711146778
S01B1,2018,REGION1,DKNG00X00,1,0.12055806599441905
S01B1,2018,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2018,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2018,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2018,REGION1,FICO00I00,1,3.2891456557368297
S01B1,2018,REGION1,FING00I00,1,1.2051416757911515
S01B1,2018,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2018,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2018,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2018,REGION1,FIWSSTPH1,1,3.034535141506775
S01B1,2018,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2018,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2018,REGION1,SEBM00X00,1,11.74311066321014
S01B1,2018,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2018,REGION1,SECO00X00,1,0.5708414129411845
S01B1,2018,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2018,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2018,REGION1,SENUG2PH3,1,11.581197755106428
S01B1,2018,REGION1,SEUR00I00,1,35.09450355729901
S01B1,2018,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2018,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2018,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2018,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2018,REGION1,DKEL00TD0,1,4.389471522157111
S01B1,2018,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2018,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2018,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2018,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2018,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2018,REGION1,DKWS00X00,1,1.2130709070065682
S01B1,2018,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2018,REGION1,FICOSTPH3,1,1.5325724343650182
S01B1,2018,REGION1,FIEL00TD0,1,13.773348666219649
S01B1,2018,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2018,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2018,REGION1,FIHYDMPH2,1,0.9606236744692809
S01B1,2018,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2018,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2018,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2018,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2018,REGION1,FIWS00X00,1,9.232665685536597
S01B1,2018,REGION1,NOEL00TD0,1,22.02613405217054
S01B1,2018,REGION1,NOHYDMPH1,1,1.4167909656845799
S01B1,2018,REGION1,NOHYDMPH2,1,11.105214275082888
S01B1,2018,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2018,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2018,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2018,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2018,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2018,REGION1,NOWIONPN3,1,0.6672319421276789
S01B1,2018,REGION1,NOWS00X00,1,0.39550864237835254
S01B1,2018,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2018,REGION1,SEEL00TD0,1,22.317970777263536
S01B1,2018,REGION1,SEHYDMPH1,1,0.4679215316644373
S01B1,2018,REGION1,SEHYDMPH2,1,4.596349019080487
S01B1,2018,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2018,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2018,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2018,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2018,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2018,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2018,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2018,REGION1,SEWS00X00,1,1.8572609705263936
S01B1,2018,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2018,REGION1,SEHGSRPH2,1,0.6129838749582863
