REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S04B1,ATE2,2043,8.87448785148
REGION1,S04B2,ATE2,2043,30.9886310331
REGION1,S04B3,ATE2,2043,5.05021117356
REGION1,S05B1,ATE2,2043,9.39231857484
REGION1,S05B2,ATE2,2043,31.71299627844
REGION1,S05B3,ATE2,2043,5.32011133188
REGION1,S01B1,ATE2,2044,15.836777742059999
REGION1,S01B2,ATE2,2044,53.480417590079995
REGION1,S01B3,ATE2,2044,8.9489062013
REGION1,S02B1,ATE2,2044,8.58955890386
REGION1,S02B2,ATE2,2044,30.31872631416
REGION1,S02B3,ATE2,2044,3.1668963302399997
REGION1,S03B1,ATE2,2044,30.64067367652
REGION1,S03B2,ATE2,2044,137.47889131078
REGION1,S03B3,ATE2,2044,21.897402564559997
REGION1,S04B1,ATE2,2044,9.045780578439999
REGION1,S04B2,ATE2,2044,31.5867643793
REGION1,S04B3,ATE2,2044,5.14768884868
REGION1,S05B1,ATE2,2044,9.57360631652
REGION1,S05B2,ATE2,2044,32.32511110732
REGION1,S05B3,ATE2,2044,5.42279853964
REGION1,S01B1,ATE2,2045,16.136666162100003
REGION1,S01B2,ATE2,2045,54.4931335728
REGION1,S01B3,ATE2,2045,9.1183644955
REGION1,S02B1,ATE2,2045,8.752212525100001
REGION1,S02B2,ATE2,2045,30.8928478356
REGION1,S02B3,ATE2,2045,3.2268653184
REGION1,S03B1,ATE2,2045,31.220891658200003
REGION1,S03B2,ATE2,2045,140.0822193473
REGION1,S03B3,ATE2,2045,22.3120561996
REGION1,S04B1,ATE2,2045,9.2170733054
REGION1,S04B2,ATE2,2045,32.1848977255
REGION1,S04B3,ATE2,2045,5.2451665238
REGION1,S05B1,ATE2,2045,9.754894058200001
REGION1,S05B2,ATE2,2045,32.9372259362
REGION1,S05B3,ATE2,2045,5.5254857474
REGION1,S01B1,ATE2,2046,16.38474139962
REGION1,S01B2,ATE2,2046,55.33087768416
REGION1,S01B3,ATE2,2046,9.2585446551
REGION1,S02B1,ATE2,2046,8.88676368822
REGION1,S02B2,ATE2,2046,31.36777558632
REGION1,S02B3,ATE2,2046,3.27647317248
REGION1,S03B1,ATE2,2046,31.70086255404
REGION1,S03B2,ATE2,2046,142.23575772306
REGION1,S03B3,ATE2,2046,22.655068107119998
REGION1,S04B1,ATE2,2046,9.35877095388
REGION1,S04B2,ATE2,2046,32.6796886611
REGION1,S04B3,ATE2,2046,5.32580250636
REGION1,S05B1,ATE2,2046,9.90485983404
REGION1,S05B2,ATE2,2046,33.44358270564
REGION1,S05B3,ATE2,2046,5.61043118628
REGION1,S01B1,ATE2,2047,16.63203158892
REGION1,S01B2,ATE2,2047,56.16597070656
REGION1,S01B3,ATE2,2047,9.3982812066
REGION1,S02B1,ATE2,2047,9.020889056520002
REGION1,S02B2,ATE2,2047,31.841200401120002
REGION1,S02B3,ATE2,2047,3.32592403968
REGION1,S03B1,ATE2,2047,32.17931455464
REGION1,S03B2,ATE2,2047,144.38248110396
REGION1,S03B3,ATE2,2047,22.99699453392
REGION1,S04B1,ATE2,2047,9.500020192080001
REGION1,S04B2,ATE2,2047,33.1729138026
REGION1,S04B3,ATE2,2047,5.40618331176
REGION1,S05B1,ATE2,2047,10.054351034640002
REGION1,S05B2,ATE2,2047,33.94833708024
REGION1,S05B3,ATE2,2047,5.69510781048
REGION1,S01B1,ATE2,2048,16.87853673
REGION1,S01B2,ATE2,2048,56.99841264
REGION1,S01B3,ATE2,2048,9.53757415
REGION1,S02B1,ATE2,2048,9.154588630000001
REGION1,S02B2,ATE2,2048,32.31312228
REGION1,S02B3,ATE2,2048,3.37521792
REGION1,S03B1,ATE2,2048,32.65624766
REGION1,S03B2,ATE2,2048,146.52238949
REGION1,S03B3,ATE2,2048,23.33783548
REGION1,S04B1,ATE2,2048,9.640821019999999
REGION1,S04B2,ATE2,2048,33.66457315
REGION1,S04B3,ATE2,2048,5.48630894
REGION1,S05B1,ATE2,2048,10.20336766
REGION1,S05B2,ATE2,2048,34.45148906
REGION1,S05B3,ATE2,2048,5.77951562
REGION1,S01B1,ATE2,2049,17.12386429875
REGION1,S01B2,ATE2,2049,57.826877939999996
REGION1,S01B3,ATE2,2049,9.67620168125
REGION1,S02B1,ATE2,2049,9.28764951125
REGION1,S02B2,ATE2,2049,32.782789755
REGION1,S02B3,ATE2,2049,3.4242763199999997
REGION1,S03B1,ATE2,2049,33.1309024225
REGION1,S03B2,ATE2,2049,148.65207538375
REGION1,S03B3,ATE2,2049,23.677048205
REGION1,S04B1,ATE2,2049,9.7809492325
REGION1,S04B2,ATE2,2049,34.15388380625
REGION1,S04B3,ATE2,2049,5.5660518025
REGION1,S05B1,ATE2,2049,10.3516724225
REGION1,S05B2,ATE2,2049,34.952237447499996
REGION1,S05B3,ATE2,2049,5.8635202075
