REGION,TECHNOLOGY,VALUE
REGION1,ESHYDMPH3,492.8521752483912
REGION1,ESHYDSPH2,214.98457286783864
REGION1,ESHYDSPH3,251.52943883700834
REGION1,ESNG00I00,3234.9816813234816
REGION1,ESNG00X00,84.36426925023467
REGION1,ESNGCCPH2,1986.1285194628538
REGION1,ESNGGCPN2,2.4882748086119673
REGION1,ESNUG2PH3,3901.3675517487804
REGION1,ESOCWVPH1,0.07136754591219324
REGION1,ESSODIFH1,0.1776558018027314
REGION1,ESSOUTPH2,11636.614825745883
REGION1,ESUR00I00,11822.314092064327
REGION1,ESWIOFPN3,1.445848957046291
REGION1,ESWIONPH3,3432.63909147439
REGION1,ESWIONPN3,33579.07330851845
REGION1,ESWS00X00,5407.215324225209
REGION1,ESWSCHPH2,34.70573348726528
REGION1,ESWSSTPH1,1614.1784685782882
REGION1,FIBM00X00,7704.796400665445
REGION1,FIBMCSPN2,2894.0473665444038
REGION1,FIBMSTPH3,0.4194287495968835
REGION1,FICO00I00,256.86303975353485
REGION1,FICO00X00,545.4188372600296
REGION1,FICOCHPH3,162.40476114422688
REGION1,FICOSTPH3,188.1280524136455
REGION1,FIEL00TD0,19331.38482572091
REGION1,FIELNOPH1,57.87770013352336
REGION1,FIELSEPH1,917.9620599431736
REGION1,FIGO00X00,15.907140586539356
REGION1,FIGOCVPH2,3.9229563770435893
REGION1,FIHYDMPH1,177.41173163121067
REGION1,FIHYDMPH2,948.5745453514018
REGION1,FIHYDMPH3,1065.9443267795862
REGION1,FING00I00,248.80670012478853
REGION1,FINGCCPH2,136.4497341798075
REGION1,FINGCHPH3,6.12993696141061
REGION1,FINGFCFH1,0.0030905280555989308
REGION1,FINGSTPH2,2.2201341604739717
REGION1,FINUG2PH3,1125.570349390359
REGION1,FINUG3PN3,3023.4068853604845
REGION1,FISOUTPH2,180.1713055618381
REGION1,FIUR00I00,12572.645714465481
REGION1,FIWIOFPH3,5.849749066759375
REGION1,FIWIONPH3,125.92281842893497
REGION1,FIWIONPN3,8219.59286458955
REGION1,FIWS00X00,6109.970813005787
REGION1,FIWSCHPH2,26.51278207577309
REGION1,FIWSSTPH1,2209.985336956815
REGION1,FRBM00I00,1226.7388364711928
REGION1,FRBM00X00,17258.283616418594
REGION1,FRBMCHPH3,0.1357737500932393
