REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATHYDMPH3,ATHY,1,2053,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2054,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2055,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2056,4.5499467447450295
REGION1,ATHYDMPH3,ATHY,1,2057,4.5499467447450295
REGION1,ATHYDMPH3,ATHY,1,2058,4.5499467447450295
REGION1,ATHYDMPH3,ATHY,1,2059,4.5499467447450295
REGION1,ATHYDMPH3,ATHY,1,2060,0.9673115047006697
REGION1,ATHYDSPH2,ATHY,1,2015,15.350911623313
REGION1,ATHYDSPH2,ATHY,1,2016,15.35090896139681
REGION1,ATHYDSPH2,ATHY,1,2017,15.350907791992475
REGION1,ATHYDSPH2,ATHY,1,2018,15.350910232966301
REGION1,ATHYDSPH2,ATHY,1,2019,15.350908433617565
REGION1,ATHYDSPH2,ATHY,1,2020,15.350907778308889
REGION1,ATHYDSPH2,ATHY,1,2021,15.350907870396783
REGION1,ATHYDSPH2,ATHY,1,2022,15.350906789606631
REGION1,ATHYDSPH2,ATHY,1,2023,15.350908668322715
REGION1,ATHYDSPH2,ATHY,1,2024,15.350909965736223
REGION1,ATHYDSPH2,ATHY,1,2025,15.35090874590987
REGION1,ATHYDSPH2,ATHY,1,2026,15.350907181838933
REGION1,ATHYDSPH2,ATHY,1,2027,15.350909300711573
REGION1,ATHYDSPH2,ATHY,1,2028,15.350908391465072
REGION1,ATHYDSPH2,ATHY,1,2029,15.35090896139681
REGION1,ATHYDSPH2,ATHY,1,2030,15.350907298100067
REGION1,ATHYDSPH2,ATHY,1,2031,15.350910179716873
REGION1,ATHYDSPH2,ATHY,1,2032,15.350908915679511
REGION1,ATHYDSPH2,ATHY,1,2033,15.350910859301846
REGION1,ATHYDSPH2,ATHY,1,2034,15.350909334601843
REGION1,ATHYDSPH2,ATHY,1,2035,15.350908053632727
REGION1,ATHYDSPH2,ATHY,1,2036,15.350914788230781
REGION1,ATHYDSPH2,ATHY,1,2037,15.350916150773848
REGION1,ATHYDSPH2,ATHY,1,2038,12.551946238917996
REGION1,ATHYDSPH2,ATHY,1,2039,10.685961966500713
REGION1,ATHYDSPH2,ATHY,1,2040,10.685963193253173
REGION1,ATHYDSPH2,ATHY,1,2041,10.685961966500713
REGION1,ATHYDSPH2,ATHY,1,2042,10.685963691123758
REGION1,ATHYDSPH2,ATHY,1,2043,10.685961776813519
