REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKELSEPH1,1,SEE1,2041,16.529234034717103
REGION1,S01B1,DKELSEPH1,1,SEE1,2042,12.633785076367861
REGION1,S01B1,DKELSEPH1,1,SEE1,2043,12.102044924451016
REGION1,S01B1,DKELSEPH1,1,SEE1,2044,7.449979932938242
REGION1,S01B1,DKELSEPH1,1,SEE1,2045,1.6211012557438302
REGION1,S01B1,DKELSEPH1,2,DKE1,2018,31.71128573164767
REGION1,S01B1,DKELSEPH1,2,DKE1,2019,14.130250116357788
REGION1,S01B1,DKELSEPH1,2,DKE1,2020,23.264617852586266
REGION1,S01B1,DKELSEPH1,2,DKE1,2023,2.631742696590246
REGION1,S01B1,DKELSEPH1,2,DKE1,2030,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2031,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2032,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2033,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2034,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2035,40.893083067483836
REGION1,S01B1,DKELSEPH1,2,DKE1,2036,18.573024876238
REGION1,S01B1,DKELSEPH1,2,DKE1,2037,9.73787465121953
REGION1,S01B1,DKELSEPH1,2,DKE1,2038,17.3141881262985
REGION1,S01B1,DKELSEPH1,2,DKE1,2046,2.408653802306086
REGION1,S01B1,DKELSEPH1,2,DKE1,2052,14.241248066017572
REGION1,S01B1,DKELSEPH1,2,DKE1,2054,8.123806362187043
REGION1,S01B1,DKELSEPH1,2,DKE1,2058,61.318113673429785
REGION1,S01B1,DKELSEPH1,2,DKE1,2059,61.41635999999999
REGION1,S01B1,DKELSEPH1,2,DKE1,2060,61.41635999999999
REGION1,S01B1,DKGO00X00,1,DKGO,2015,5.730684649006744
REGION1,S01B1,DKGO00X00,1,DKGO,2022,4.327829891093711
REGION1,S01B1,DKGO00X00,1,DKGO,2023,4.618703461863546
REGION1,S01B1,DKGO00X00,1,DKGO,2024,4.909577032633379
REGION1,S01B1,DKGO00X00,1,DKGO,2025,5.200440077091541
REGION1,S01B1,DKGO00X00,1,DKGO,2026,8.197312592521769
REGION1,S01B1,DKGO00X00,1,DKGO,2028,14.191047097070596
REGION1,S01B1,DKGO00X00,1,DKGO,2029,17.187888033565745
REGION1,S01B1,DKGO00X00,1,DKGO,2030,20.184728970060966
REGION1,S01B1,DKGO00X00,1,DKGO,2031,22.48535965176237
REGION1,S01B1,DKGO00X00,1,DKGO,2032,24.785885070346765
REGION1,S01B1,DKGO00X00,1,DKGO,2033,27.086410488931445
REGION1,S01B1,DKGO00X00,1,DKGO,2034,28.253864459517438
REGION1,S01B1,DKGO00X00,1,DKGO,2035,28.19551571538084
REGION1,S01B1,DKGO00X00,1,DKGO,2036,28.13716697124423
REGION1,S01B1,DKGO00X00,1,DKGO,2037,28.078750142225328
REGION1,S01B1,DKGO00X00,1,DKGO,2038,28.02040139808873
REGION1,S01B1,DKGO00X00,1,DKGO,2039,27.96198456906982
REGION1,S01B1,DKGO00X00,1,DKGO,2040,29.562083219491296
REGION1,S01B1,DKGO00X00,1,DKGO,2041,2.7960793055912485
REGION1,S01B1,DKGO00X00,1,DKGO,2043,11.069394230828904
REGION1,S01B1,DKGO00X00,1,DKGO,2044,7.94780610519609
REGION1,S01B1,DKGO00X00,1,DKGO,2047,26.54711076826444
REGION1,S01B1,DKGO00X00,1,DKGO,2048,27.45536495982776
REGION1,S01B1,DKGO00X00,1,DKGO,2049,27.399331101689576
REGION1,S01B1,DKGO00X00,1,DKGO,2050,27.3432972435514
