REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S03B2,DKBM00X00,1,2046,115.74910597872083
REGION1,S03B3,DKBM00X00,1,2046,115.74910597872083
REGION1,S04B2,DKBM00X00,1,2046,96.59259175817392
REGION1,S05B2,DKBM00X00,1,2046,115.74910597872083
REGION1,S05B3,DKBM00X00,1,2046,44.97112254175837
REGION1,S01B2,DKBM00X00,1,2047,124.06649467476086
REGION1,S01B3,DKBM00X00,1,2047,44.3215071936304
REGION1,S02B1,DKBM00X00,1,2047,38.299158965620286
REGION1,S02B2,DKBM00X00,1,2047,127.3594673091574
REGION1,S02B3,DKBM00X00,1,2047,114.82856355428164
REGION1,S03B1,DKBM00X00,1,2047,8.570590959965168
REGION1,S03B2,DKBM00X00,1,2047,127.3594673091574
REGION1,S03B3,DKBM00X00,1,2047,127.3594673091574
REGION1,S04B1,DKBM00X00,1,2047,30.766729654491403
REGION1,S04B2,DKBM00X00,1,2047,127.3594673091574
REGION1,S04B3,DKBM00X00,1,2047,32.200636084601186
REGION1,S05B2,DKBM00X00,1,2047,127.35946730915738
REGION1,S05B3,DKBM00X00,1,2047,59.675375726292565
REGION1,S01B2,DKBM00X00,1,2048,138.34613042703003
REGION1,S01B3,DKBM00X00,1,2048,57.21055885075263
REGION1,S02B1,DKBM00X00,1,2048,48.302256540260615
REGION1,S02B2,DKBM00X00,1,2048,49.3322948447583
REGION1,S02B3,DKBM00X00,1,2048,125.75311313988966
REGION1,S03B2,DKBM00X00,1,2048,138.34613042703003
REGION1,S03B3,DKBM00X00,1,2048,138.34613042703003
REGION1,S04B2,DKBM00X00,1,2048,138.34613042703
REGION1,S04B3,DKBM00X00,1,2048,62.18039961715699
REGION1,S05B2,DKBM00X00,1,2048,138.34613042703
REGION1,S05B3,DKBM00X00,1,2048,32.13320748093254
REGION1,S01B2,DKBM00X00,1,2049,148.69093028790684
REGION1,S01B3,DKBM00X00,1,2049,69.90427801472727
REGION1,S02B2,DKBM00X00,1,2049,135.8365157165906
REGION1,S02B3,DKBM00X00,1,2049,136.56254624249965
