TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2017,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2017,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2017,REGION1,SEBM00X00,1,2.899611294411279
S01B1,2017,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2017,REGION1,SENUG2PH3,1,13.680230263197664
S01B1,2017,REGION1,SEUR00I00,1,41.45520176656788
S01B1,2017,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2017,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2017,REGION1,SEELLTEH1,1,0.41416359634891053
S01B1,2017,REGION1,SEELPLIH1,1,0.8363381676366162
S01B1,2017,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2017,REGION1,DKEL00TD0,1,4.409695916907436
S01B1,2017,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2017,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2017,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2017,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2017,REGION1,DKWS00X00,1,0.11093574094504233
S01B1,2017,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2017,REGION1,FICOSTPH3,1,1.2536104205609562
S01B1,2017,REGION1,FIEL00TD0,1,13.897334198842788
S01B1,2017,REGION1,FIELNOPH1,2,0.15897599841023963
S01B1,2017,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2017,REGION1,FIHYDMPH1,1,0.13656561518423152
S01B1,2017,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2017,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2017,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2017,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2017,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2017,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2017,REGION1,NOEL00TD0,1,21.998823911676023
S01B1,2017,REGION1,NOELSEPH1,2,0.3356782534867621
S01B1,2017,REGION1,NOHYDMPH1,1,1.7431831456683242
S01B1,2017,REGION1,NOHYDMPH2,1,11.253295954385413
S01B1,2017,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2017,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2017,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2017,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2017,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2017,REGION1,NOWS00X00,1,0.4065707122683718
S01B1,2017,REGION1,SEBMSTPH3,1,1.0148649679089157
S01B1,2017,REGION1,SEEL00TD0,1,22.344953945007124
S01B1,2017,REGION1,SEHYDMPH1,1,0.49439690355497545
S01B1,2017,REGION1,SEHYDMPH2,1,4.796682455930238
S01B1,2017,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2017,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2017,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2017,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2017,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2017,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2017,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2017,REGION1,SEWS00X00,1,1.9256867037065843
S01B1,2017,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2017,REGION1,SEHGSRPH2,1,0.6129838749582862
S01B1,2017,REGION1,DKHGSRPH2,1,0.2391039105689603
S01B1,2017,REGION1,FIHGSRPH2,1,0.7953943014164626
S01B1,2017,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2017,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2017,REGION1,DKHGTDP00,1,0.23814656139216384
S01B1,2017,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2018,REGION1,DKCO00I00,1,3.790561515695325
S01B1,2018,REGION1,DKCOCHPH3,1,1.2864983698887231
S01B1,2018,REGION1,DKNG00X00,1,0.18815571169540243
S01B1,2018,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2018,REGION1,FICO00X00,1,2.439976474455249
S01B1,2018,REGION1,FING00I00,1,1.2051416757911515
S01B1,2018,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2018,REGION1,FIUR00I00,1,19.1022352521776
S01B1,2018,REGION1,FIWSSTPH1,1,3.0411160016724246
S01B1,2018,REGION1,NONG00X00,1,1.8077125136867274
