REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B3,NOHYDMPH1,1,NOE1,2037,34.8594000217963
REGION1,S01B3,NOHYDMPH1,1,NOE1,2038,34.4390357804659
REGION1,S01B3,NOHYDMPH1,1,NOE1,2039,33.6437606713478
REGION1,S01B3,NOHYDMPH1,1,NOE1,2040,33.2628105441384
REGION1,S01B3,NOHYDMPH1,1,NOE1,2041,33.2628105441384
REGION1,S01B3,NOHYDMPH1,1,NOE1,2042,33.089102371823
REGION1,S01B3,NOHYDMPH1,1,NOE1,2043,32.6863791251194
REGION1,S01B3,NOHYDMPH1,1,NOE1,2044,32.2488506728008
REGION1,S01B3,NOHYDMPH1,1,NOE1,2045,32.0215838050872
REGION1,S01B3,NOHYDMPH1,1,NOE1,2046,31.9257502937366
REGION1,S01B3,NOHYDMPH1,1,NOE1,2047,31.9257502937366
REGION1,S01B3,NOHYDMPH1,1,NOE1,2048,31.8145007780726
REGION1,S01B3,NOHYDMPH1,1,NOE1,2049,31.6396801106006
REGION1,S01B3,NOHYDMPH1,1,NOE1,2050,31.6396801106006
REGION1,S01B3,NOHYDMPH1,1,NOE1,2051,31.1252305645944
REGION1,S01B3,NOHYDMPH1,1,NOE1,2052,31.1231645021606
REGION1,S01B3,NOHYDMPH1,1,NOE1,2053,31.1231645021606
REGION1,S01B3,NOHYDMPH1,1,NOE1,2054,30.9828311845445
REGION1,S01B3,NOHYDMPH1,1,NOE1,2055,29.2594172590296
REGION1,S01B3,NOHYDMPH1,1,NOE1,2056,28.9344097454112
REGION1,S01B3,NOHYDMPH1,1,NOE1,2057,28.7878782404938
REGION1,S01B3,NOHYDMPH1,1,NOE1,2058,28.7754818658912
REGION1,S01B3,NOHYDMPH1,1,NOE1,2059,11.554385430344862
REGION1,S01B3,NOHYDMPH1,1,NOE1,2060,28.4104245266338
REGION1,S01B3,NOHYDMPH2,1,NOE1,2015,275.968727113709
REGION1,S01B3,NOHYDMPH2,1,NOE1,2016,275.968727113709
REGION1,S01B3,NOHYDMPH2,1,NOE1,2017,274.643268598512
REGION1,S01B3,NOHYDMPH2,1,NOE1,2018,271.029248618227
REGION1,S01B3,NOHYDMPH2,1,NOE1,2019,270.155145280867
REGION1,S01B3,NOHYDMPH2,1,NOE1,2020,270.155145280867
REGION1,S01B3,NOHYDMPH2,1,NOE1,2021,269.761004139658
REGION1,S01B3,NOHYDMPH2,1,NOE1,2022,269.363684440858
REGION1,S01B3,NOHYDMPH2,1,NOE1,2023,268.966364742058
REGION1,S01B3,NOHYDMPH2,1,NOE1,2024,268.966364742058
REGION1,S01B3,NOHYDMPH2,1,NOE1,2025,268.735919316754
REGION1,S01B3,NOHYDMPH2,1,NOE1,2026,267.90949434325
REGION1,S01B3,NOHYDMPH2,1,NOE1,2027,267.90949434325
REGION1,S01B3,NOHYDMPH2,1,NOE1,2028,264.858079056466
REGION1,S01B3,NOHYDMPH2,1,NOE1,2029,261.445897483171
REGION1,S01B3,NOHYDMPH2,1,NOE1,2030,259.751726287488
REGION1,S01B3,NOHYDMPH2,1,NOE1,2031,258.418321378315
REGION1,S01B3,NOHYDMPH2,1,NOE1,2032,257.644342605053
REGION1,S01B3,NOHYDMPH2,1,NOE1,2033,251.795796638717
REGION1,S01B3,NOHYDMPH2,1,NOE1,2034,247.700225183486
REGION1,S01B3,NOHYDMPH2,1,NOE1,2035,244.1529549126
REGION1,S01B3,NOHYDMPH2,1,NOE1,2036,240.141615233515
REGION1,S01B3,NOHYDMPH2,1,NOE1,2037,235.942740656597
REGION1,S01B3,NOHYDMPH2,1,NOE1,2038,225.675999639605
REGION1,S01B3,NOHYDMPH2,1,NOE1,2039,218.12533608361
REGION1,S01B3,NOHYDMPH2,1,NOE1,2040,209.830890051461
REGION1,S01B3,NOHYDMPH2,1,NOE1,2041,203.758255775002
REGION1,S01B3,NOHYDMPH2,1,NOE1,2042,197.480604533962
REGION1,S01B3,NOHYDMPH2,1,NOE1,2043,189.693138437482
REGION1,S01B3,NOHYDMPH2,1,NOE1,2044,173.851207406928
REGION1,S01B3,NOHYDMPH2,1,NOE1,2045,159.991107033989
REGION1,S01B3,NOHYDMPH2,1,NOE1,2046,156.69971064913
REGION1,S01B3,NOHYDMPH2,1,NOE1,2047,143.116144786555
REGION1,S01B3,NOHYDMPH2,1,NOE1,2048,139.060305301205
REGION1,S01B3,NOHYDMPH2,1,NOE1,2049,134.514967946933
REGION1,S01B3,NOHYDMPH2,1,NOE1,2050,131.020143876288
REGION1,S01B3,NOHYDMPH2,1,NOE1,2051,119.124392094216
REGION1,S01B3,NOHYDMPH2,1,NOE1,2052,112.129976116541
