REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S05B2,DKE2,2033,12.57243408636
REGION1,S05B3,DKE2,2033,2.0626604408599998
REGION1,S01B1,DKE2,2034,5.84486834514
REGION1,S01B2,DKE2,2034,21.268301753129997
REGION1,S01B3,DKE2,2034,3.4642350807599995
REGION1,S02B1,DKE2,2034,3.12064829904
REGION1,S02B2,DKE2,2034,11.64121459701
REGION1,S02B3,DKE2,2034,1.19669690946
REGION1,S03B1,DKE2,2034,11.94824873181
REGION1,S03B2,DKE2,2034,54.068274850259996
REGION1,S03B3,DKE2,2034,8.715968439
REGION1,S04B1,DKE2,2034,3.40928604417
REGION1,S04B2,DKE2,2034,12.79431829722
REGION1,S04B3,DKE2,2034,2.01261055698
REGION1,S05B1,DKE2,2034,3.53710672797
REGION1,S05B2,DKE2,2034,13.030422250680001
REGION1,S05B3,DKE2,2034,2.13779895918
REGION1,S01B1,DKE2,2035,6.05177941874
REGION1,S01B2,DKE2,2035,22.02120958433
REGION1,S01B3,DKE2,2035,3.5868706231599994
REGION1,S02B1,DKE2,2035,3.23112070864
REGION1,S02B2,DKE2,2035,12.05331903941
REGION1,S02B3,DKE2,2035,1.2390605398599999
REGION1,S03B1,DKE2,2035,12.371222326209999
REGION1,S03B2,DKE2,2035,55.982317072659995
REGION1,S03B3,DKE2,2035,9.024517799
REGION1,S04B1,DKE2,2035,3.52997636497
REGION1,S04B2,DKE2,2035,13.24724315002
REGION1,S04B3,DKE2,2035,2.08385791218
REGION1,S05B1,DKE2,2035,3.66232196077
REGION1,S05B2,DKE2,2035,13.491705293879999
REGION1,S05B3,DKE2,2035,2.21347804238
REGION1,S01B1,DKE2,2036,6.250931327080001
REGION1,S01B2,DKE2,2036,22.74588337186
REGION1,S01B3,DKE2,2036,3.70490733272
REGION1,S02B1,DKE2,2036,3.33745040288
REGION1,S02B2,DKE2,2036,12.449969565220002
REGION1,S02B3,DKE2,2036,1.27983553412
REGION1,S03B1,DKE2,2036,12.778334410820001
REGION1,S03B2,DKE2,2036,57.82458271172
REGION1,S03B3,DKE2,2036,9.321496558
REGION1,S04B1,DKE2,2036,3.6461407987400003
REGION1,S04B2,DKE2,2036,13.68318332084
REGION1,S04B3,DKE2,2036,2.15243349156
REGION1,S05B1,DKE2,2036,3.7828416223400003
REGION1,S05B2,DKE2,2036,13.935690222960002
REGION1,S05B3,DKE2,2036,2.28631915996
REGION1,S01B1,DKE2,2037,6.4508222035400005
REGION1,S01B2,DKE2,2037,23.47324611593
REGION1,S01B3,DKE2,2037,3.82338202636
REGION1,S02B1,DKE2,2037,3.44417464144
REGION1,S02B2,DKE2,2037,12.84809189261
REGION1,S02B3,DKE2,2037,1.32076182706
REGION1,S03B1,DKE2,2037,13.186957115410001
REGION1,S03B2,DKE2,2037,59.67368421586
REGION1,S03B3,DKE2,2037,9.619577279
REGION1,S04B1,DKE2,2037,3.7627362693700004
REGION1,S04B2,DKE2,2037,14.12074108042
REGION1,S04B3,DKE2,2037,2.22126352578
REGION1,S05B1,DKE2,2037,3.90380848117
REGION1,S05B2,DKE2,2037,14.38132259148
REGION1,S05B3,DKE2,2037,2.35943055998
REGION1,S01B1,DKE2,2038,6.651452048120001
REGION1,S01B2,DKE2,2038,24.20329781654
REGION1,S01B3,DKE2,2038,3.94229470408
REGION1,S02B1,DKE2,2038,3.55129342432
REGION1,S02B2,DKE2,2038,13.247686021580002
REGION1,S02B3,DKE2,2038,1.36183941868
REGION1,S03B1,DKE2,2038,13.59709043998
REGION1,S03B2,DKE2,2038,61.52962158508
REGION1,S03B3,DKE2,2038,9.918759962
REGION1,S04B1,DKE2,2038,3.8797627768600003
REGION1,S04B2,DKE2,2038,14.559916428760001
REGION1,S04B3,DKE2,2038,2.29034801484
REGION1,S05B1,DKE2,2038,4.02522253726
REGION1,S05B2,DKE2,2038,14.828602399440001
REGION1,S05B3,DKE2,2038,2.4328122424400003
REGION1,S01B1,DKE2,2039,6.85319034488
REGION1,S01B2,DKE2,2039,24.937382951959997
REGION1,S01B3,DKE2,2039,4.061864357919999
REGION1,S02B1,DKE2,2039,3.6590040236799997
REGION1,S02B2,DKE2,2039,13.64948785292
REGION1,S02B3,DKE2,2039,1.4031439583199998
REGION1,S03B1,DKE2,2039,14.00948969452
REGION1,S03B2,DKE2,2039,63.39581275192
REGION1,S03B3,DKE2,2039,10.219595587999999
REGION1,S04B1,DKE2,2039,3.99743583964
REGION1,S04B2,DKE2,2039,15.001518160239998
REGION1,S04B3,DKE2,2039,2.35981418616
REGION1,S05B1,DKE2,2039,4.14730738924
REGION1,S05B2,DKE2,2039,15.27835336656
REGION1,S05B3,DKE2,2039,2.50659934856
REGION1,S01B1,DKE2,2040,7.0552981257
REGION1,S01B2,DKE2,2040,25.67281256565
REGION1,S01B3,DKE2,2040,4.181653003799999
REGION1,S02B1,DKE2,2040,3.7669118951999994
REGION1,S02B2,DKE2,2040,14.05202558505
REGION1,S02B3,DKE2,2040,1.4445241473
REGION1,S03B1,DKE2,2040,14.42264425905
REGION1,S03B2,DKE2,2040,65.26542185129999
REGION1,S03B3,DKE2,2040,10.520982194999998
REGION1,S04B1,DKE2,2040,4.11532442085
REGION1,S04B2,DKE2,2040,15.443928686099998
REGION1,S04B3,DKE2,2040,2.4294075849
REGION1,S05B1,DKE2,2040,4.26961583985
REGION1,S05B2,DKE2,2040,15.728928053399999
REGION1,S05B3,DKE2,2040,2.5805215958999996
REGION1,S01B1,DKE2,2041,7.225260793300001
REGION1,S01B2,DKE2,2041,26.29127256985
REGION1,S01B3,DKE2,2041,4.2823893422
REGION1,S02B1,DKE2,2041,3.8576570888
REGION1,S02B2,DKE2,2041,14.390539948450002
REGION1,S02B3,DKE2,2041,1.4793228437000001
REGION1,S03B1,DKE2,2041,14.770086854450001
REGION1,S03B2,DKE2,2041,66.83767081970001
