REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMSTPH3,1,2023,DKBM,S03B2,10.752184061327307
REGION1,DKBMSTPH3,1,2023,DKBM,S03B3,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S04B1,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S04B2,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S05B1,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S05B2,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S01B2,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S01B3,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S02B1,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S02B2,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S02B3,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S03B1,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S03B2,14.594646945661369
REGION1,DKBMSTPH3,1,2024,DKBM,S03B3,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S04B1,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S04B3,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S05B1,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S05B2,32.89691355264087
REGION1,DKBMSTPH3,1,2024,DKBM,S05B3,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S01B2,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S02B1,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S02B2,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S02B3,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S03B1,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S03B2,16.75181805524223
REGION1,DKBMSTPH3,1,2025,DKBM,S03B3,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S04B1,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S04B3,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S05B1,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S05B2,32.89691355264087
REGION1,DKBMSTPH3,1,2025,DKBM,S05B3,32.89691355264087
REGION1,DKBMSTPH3,1,2026,DKBM,S01B2,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S01B3,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S02B1,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S02B2,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S02B3,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S03B1,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S03B2,17.923105891700473
REGION1,DKBMSTPH3,1,2026,DKBM,S03B3,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S04B1,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S04B3,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S05B1,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S05B2,40.39939214078603
REGION1,DKBMSTPH3,1,2026,DKBM,S05B3,40.39939214078603
REGION1,DKBMSTPH3,1,2027,DKBM,S01B2,25.652260172817744
REGION1,DKBMSTPH3,1,2027,DKBM,S01B3,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S02B1,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S02B2,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S02B3,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S03B1,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S03B2,46.843063248176286
REGION1,DKBMSTPH3,1,2027,DKBM,S03B3,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S04B1,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S04B2,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S05B1,71.4689354471252
REGION1,DKBMSTPH3,1,2027,DKBM,S05B2,12.307218250495072
REGION1,DKBMSTPH3,1,2027,DKBM,S05B3,71.4689354471252
REGION1,DKBMSTPH3,1,2028,DKBM,S01B2,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S02B3,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S03B1,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S03B2,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S04B1,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S04B2,80.63923692335274
REGION1,DKBMSTPH3,1,2028,DKBM,S05B2,36.825159303990056
REGION1,DKBMSTPH3,1,2028,DKBM,S05B3,80.63923692335274
REGION1,DKBMSTPH3,1,2029,DKBM,S01B2,84.3877611528868
REGION1,DKBMSTPH3,1,2029,DKBM,S02B2,23.26348515380441
REGION1,DKBMSTPH3,1,2029,DKBM,S03B1,84.3877611528868
REGION1,DKBMSTPH3,1,2029,DKBM,S03B2,84.3877611528868
REGION1,DKBMSTPH3,1,2029,DKBM,S04B1,84.3877611528868
REGION1,DKBMSTPH3,1,2029,DKBM,S04B2,84.3877611528868
REGION1,DKBMSTPH3,1,2029,DKBM,S05B2,42.86901627713946
REGION1,DKBMSTPH3,1,2030,DKBM,S01B1,34.46257682481396
REGION1,DKBMSTPH3,1,2030,DKBM,S01B2,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S01B3,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S02B1,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S02B2,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S03B1,73.30602043238095
REGION1,DKBMSTPH3,1,2030,DKBM,S03B2,31.352521354927184
REGION1,DKBMSTPH3,1,2030,DKBM,S03B3,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S04B1,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S04B2,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S05B1,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S05B2,95.8288942639409
REGION1,DKBMSTPH3,1,2030,DKBM,S05B3,95.8288942639409
REGION1,DKBMSTPH3,1,2031,DKBM,S01B1,43.299394601013795
REGION1,DKBMSTPH3,1,2031,DKBM,S01B2,95.8288942639409
REGION1,DKBMSTPH3,1,2031,DKBM,S01B3,69.75529650737926
REGION1,DKBMSTPH3,1,2031,DKBM,S02B1,71.45050160251725
REGION1,DKBMSTPH3,1,2031,DKBM,S02B2,95.8288942639409
REGION1,DKBMSTPH3,1,2031,DKBM,S03B1,60.78554897282319
REGION1,DKBMSTPH3,1,2031,DKBM,S03B2,59.21106922042801
REGION1,DKBMSTPH3,1,2031,DKBM,S03B3,58.68636267363551
