name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
FixedCost,cost_h2_ccs_BC,"REGION1,FIHGBCPN2",230.0292931034483,230.0292931034483,195.524899137931,264.5336870689655,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_BC,"REGION1,NOHGBCPN2",230.0292931034483,230.0292931034483,195.524899137931,264.5336870689655,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_BC,"REGION1,SEHGBCPN2",230.0292931034483,230.0292931034483,195.524899137931,264.5336870689655,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_BC,"REGION1,DKHGBCPN2,1",8.869639824105048,8.869639824105048,7.539193850489291,10.2000857977208,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_BC,"REGION1,FIHGBCPN2,1",8.869639824105048,8.869639824105048,7.539193850489291,10.2000857977208,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_BC,"REGION1,NOHGBCPN2,1",8.869639824105048,8.869639824105048,7.539193850489291,10.2000857977208,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_BC,"REGION1,SEHGBCPN2,1",8.869639824105048,8.869639824105048,7.539193850489291,10.2000857977208,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_SC,"REGION1,DKHGSCPN2",829.9609137931036,829.9609137931036,626.4313758620691,765.6383482758622,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_SC,"REGION1,FIHGSCPN2",829.9609137931036,829.9609137931036,626.4313758620691,765.6383482758622,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_SC,"REGION1,NOHGSCPN2",829.9609137931036,829.9609137931036,626.4313758620691,765.6383482758622,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_SC,"REGION1,SEHGSCPN2",829.9609137931036,829.9609137931036,626.4313758620691,765.6383482758622,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_SC,"REGION1,DKHGSCPN2",33.0138908940969,33.0138908940969,24.87937105596258,30.40812017950982,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_SC,"REGION1,FIHGSCPN2",33.0138908940969,33.0138908940969,24.87937105596258,30.40812017950982,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_SC,"REGION1,NOHGSCPN2",33.0138908940969,33.0138908940969,24.87937105596258,30.40812017950982,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_SC,"REGION1,SEHGSCPN2",33.0138908940969,33.0138908940969,24.87937105596258,30.40812017950982,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_SC,"REGION1,DKHGSCPN2,1",3.1714851414,3.1714851414,2.85433662726,3.48863365554,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_SC,"REGION1,FIHGSCPN2,1",3.1714851414,3.1714851414,2.85433662726,3.48863365554,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_SC,"REGION1,NOHGSCPN2,1",3.1714851414,3.1714851414,2.85433662726,3.48863365554,unif,YEAR,interpolate
VariableCost,cost_h2_ccs_SC,"REGION1,SEHGSCPN2,1",3.1714851414,3.1714851414,2.85433662726,3.48863365554,unif,YEAR,interpolate
CapitalCostStorage,cost_h2_storage,"REGION1,DKHGSTPN2",0.818344736,0.818344736,0.7365102624000001,0.9001792096000001,unif,YEAR,interpolate
CapitalCostStorage,cost_h2_storage,"REGION1,FIHGSTPN2",0.818344736,0.818344736,0.7365102624000001,0.9001792096000001,unif,YEAR,interpolate
CapitalCostStorage,cost_h2_storage,"REGION1,NOHGSTPN2",0.818344736,0.818344736,0.7365102624000001,0.9001792096000001,unif,YEAR,interpolate
CapitalCostStorage,cost_h2_storage,"REGION1,SEHGSTPN2",0.818344736,0.818344736,0.7365102624000001,0.9001792096000001,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKBFHPFH1",4966.896226,4966.896226,4067.623683,4971.540057,unif,YEAR,interpolate
CapitalCost,cost_renew,"REGION1,DKBMCCPH1",4676.623663,4676.623663,2149.4280375,2627.0787125,unif,YEAR,interpolate
